iter	Passed	Remaining
873	3567	514
874	3572	510
875	3574	505
876	3580	502
877	3588	498
878	3590	494
879	3593	490
880	3595	485
881	3597	481
882	3603	477
883	3605	473
884	3607	468
885	3609	464
886	3611	460
887	3613	455
888	3615	451
889	3624	448
890	3626	443
891	3628	439
892	3630	435
893	3633	430
894	3640	427
895	3646	423
896	3648	418
897	3650	414
898	3656	410
899	3658	406
900	3660	402
901	3662	397
902	3664	393
903	3670	389
904	3697	388
905	3703	384
906	3705	379
907	3707	375
908	3710	371
909	3712	367
910	3713	362
911	3719	358
912	3721	354
913	3722	350
914	3725	346
915	3726	341
916	3728	337
917	3735	333
918	3737	329
919	3741	325
920	3742	321
921	3744	316
922	3751	312
923	3753	308
924	3755	304
925	3757	300
926	3759	296
927	3766	292
928	3768	288
929	3770	283
930	3772	279
931	3774	275
932	3781	271
933	3786	267
934	3788	263
935	3790	259
936	3791	254
937	3795	250
938	3798	246
939	3801	242
940	3814	239
941	3816	234
942	3832	231
943	3842	227
944	3844	223
945	3847	219
946	3849	215
947	3853	211
948	3856	207
949	3858	203
950	3881	199
951	3887	195
952	3889	191
953	3890	187
954	3892	183
955	3893	179
956	3896	175
957	3898	170
958	3900	166
959	3902	162
960	3904	158
961	3905	154
962	3914	150
963	3915	146
964	3916	142
965	3919	137
966	3925	133
967	3931	129
968	3933	125
969	3935	121
970	3950	117
971	3952	113
972	3956	109
973	3959	105
974	3963	101
975	3965	97
976	3967	93
977	3978	89
978	3982	85
979	3991	81
980	3994	77
981	3996	73
982	3998	69
983	4006	65
984	4008	61
985	4010	56
986	4012	52
987	4014	48
988	4022	44
989	4025	40
990	4028	36
991	4030	32
992	4036	28
993	4038	24
994	4040	20
995	4042	16
996	4044	12
997	4053	8
998	4057	4
999	4059	0
